source,target,weight,common_tags
"aaron-krane
","jonathan-sackheim
",0.0,
"aaron-krane
","jos-cayasso
",0.0,
"aaron-krane
","joseph-matteo
",1.0,company
"aaron-krane
","joseph-yossi-deutsch
",0.0,
"aaron-krane
","julie-greenhouse
",1.0,Yahoo
"aaron-krane
","jussi-palmroth
",1.0,company
"aaron-krane
","justin-halloran
",0.0,
"aaron-krane
","justin-raddatz
",0.0,
"aaron-krane
","k-b-chandrasekhar
",0.0,
"aaron-krane
","kassia-shishkoff
",0.0,
"aaron-krane
","katherine-covellone
",0.0,
"aaron-krane
","kathy-mclaughlin
",1.0,time
"aaron-krane
","kelli-richards
",1.0,CEO
"aaron-krane
","kelsey-schwenk
",0.0,
"aaron-krane
","ken-schneider
",0.0,
"aaron-krane
","kenneth-berger
",0.0,
"aaron-krane
","kevin-casey
",0.0,
"aaron-krane
","kevin-gabelein
",0.0,
"aaron-krane
","kevin-moore-2
",0.0,
"aaron-krane
","kimberley-kasper
",1.0,company
"aaron-krane
","kiril-savino
",0.0,
"aaron-krane
","kostas-staikos
",0.0,
"aaron-krane
","krishna-k-gupta
",1.0,time
"aaron-krane
","kuangwei-hwang
",0.0,
"aaron-krane
","lance-greggain
",1.0,CEO
"aaron-krane
","larry-brilliant
",0.0,
"aaron-krane
","lawrence-merritt
",2.0,"Yahoo, company"
"aaron-krane
","lee-zhou
",1.0,quot
"aaron-krane
","leslie-a-shipley
",1.0,company
"aaron-krane
","lex-bayer
",1.0,CEO
"aaron-krane
","lior-sion
",0.0,
"aaron-krane
","lisa-pavey
",0.0,
"aaron-krane
","luca-pulira
",0.0,
"aaron-krane
","luis-von-ahn
",1.0,Google
"aaron-krane
","magid-abraham
",1.0,CEO
"aaron-krane
","manuel-maqueda
",1.0,Silicon Valley
"aaron-krane
","marco-oriano
",0.0,
"aaron-krane
","marcus-lindstrm
",1.0,company
"aaron-krane
","mark-cooper-2
",1.0,CEO
"aaron-krane
","mark-gurman-2
",0.0,
"aaron-krane
","mark-norman
",0.0,
"aaron-krane
","mark-verstegen
",0.0,
"aaron-krane
","marta-gimeno
",0.0,
"aaron-krane
","martin-duval
",1.0,company
